"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"42.1";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"42.3";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"43.9";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"49.2";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"51.2";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"51.9";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"52.7";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"52.8";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"53.7";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"53.7";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"53.7";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"55.3";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"60.9";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"61.5";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"62.7";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"64.5";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"65.5";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"65.7";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"67.2";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"67.7";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"67.7";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"17";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"17.9";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"19.1";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"19.7";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"20.4";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"21.4";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"21.4";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"21.7";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"22.2";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"22.4";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"23.4";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"23.9";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"24.3";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"25";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"25.1";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"25.4";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"25.9";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"28.8";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"57.8";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"58.3";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"58.5";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"59.3";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"59.4";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"60.7";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"62.1";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"62.3";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"62.5";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"62.6";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"62.7";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"63.8";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"64.4";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"65";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"65.1";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"65.9";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"67.8";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2018";"67.9";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"9.1";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"10.8";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"11.8";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"12.1";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"13.2";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"13.4";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"14.3";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"15.2";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"16.3";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"16.4";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"16.7";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"18";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"18.7";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"19";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"19";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"19.5";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"20.7";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"21.5";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"33.3";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"33.6";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"34.1";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"34.2";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"38.6";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"41";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"41.5";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"42.8";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"43.3";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"60.7";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"61.8";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"65.1";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"65.8";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"66";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"66.5";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"67.4";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"68.6";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2016";"69.2";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Cine";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"9.9";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"10.3";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"10.4";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"12.3";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"12.6";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"13.2";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"14.3";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"14.4";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"14.9";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"15.6";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"16.2";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"17.7";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"19.3";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"19.5";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"19.9";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"20.7";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"21.1";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"23.2";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"37.1";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"40.3";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"40.5";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"40.7";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"41.3";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"41.6";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"43.1";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"43.6";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Conciertos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2012";"45.9";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Conciertos";"";"";
